,Unnamed: 0,title,date,author,result,id
897,1107,"Potatoes should be placed in the refrigerator, otherwise they are prone to toxins",2016/8/16,Xu Xiaohua,TRUE,https://vp.fact.qq.com/article?id=9f68391b4981f467a87f895407ac365c
763,973,"Drug ""stamp"" (LSD) is highly hallucinogenic",2019/1/4,Li Qing,TRUE,https://vp.fact.qq.com/article?id=3092f6eaae0c3fccee3f133b7484d7d9
967,1185,Babies drink freshly squeezed apple juice with seeds at risk of cyanide poisoning,2014/5/16,True team,TRUE,https://vp.fact.qq.com/article?id=bb8f43d266c306a03968f81b1f2293c5
976,1205,"Chitosan can inhibit the growth of bacteria and molds, and has no toxic side effects on the human body",2019/11/17,Li Qing,TRUE,https://vp.fact.qq.com/article?id=8f86f09b02577a17e15b7fb81d3777ba
985,1214,Niuhuang detoxification tablets are contraindicated for pregnant women and infants,2019/3/12,Xie Wangshi,TRUE,https://vp.fact.qq.com/article?id=6f521b025bc762beb747fa05fb37f5dd
974,1203,"Japanese rarely get AIDS: strong sense of crisis, blood management, strict crackdown on drugs",2019/11/28,Yu Jinquan,TRUE,https://vp.fact.qq.com/article?id=e513cdfc01e98406ca4c55c849d5d011
901,1111,Long-term oil painting may cause chronic poisoning,2018/1/24,,TRUE,https://vp.fact.qq.com/article?id=159bca51a956ce5cdc66f573b78bb662
875,1085,"The light stick is easy to break, and its leakage is easy to poison",2014/2/25,Zhong Kai,TRUE,https://vp.fact.qq.com/article?id=38bfb0c22f3ad01cdd3e8faae7e1155a
850,1060,"Net red drink ""Kawachao drink"" turned out to be ""drugs""",2017/9/12,Liu Pingping,TRUE,https://vp.fact.qq.com/article?id=49df9b48b152dc7da4f47bc340055a3b
759,969,Anticancer drug cisplatin is nephrotoxic,2019/1/26,Hippocrates,TRUE,https://vp.fact.qq.com/article?id=c6d3dd9fd85c6ea41303d981f927f42f
758,968,End-stage renal disease (uremia) cannot be cured,2019/2/1,Li Qing,TRUE,https://vp.fact.qq.com/article?id=ebdd5f75e04fbc44d2555efa149b6bed
894,1104,"Wild vegetables on the road cannot be eaten indiscriminately, and may be poisonous",2016/4/13,,TRUE,https://vp.fact.qq.com/article?id=b06e42122570e13acdfdcae663309316
895,1105,"""Poisoning"" of raw tomatoes in the U.S.",2008/7/9,,TRUE,https://vp.fact.qq.com/article?id=3c2d453da07fc9494ec4c2df260dc002
980,1209,Ammonia in the mouth (urinary odor) may indicate kidney damage (uremia),2019/7/25,Cloudless,TRUE,https://vp.fact.qq.com/article?id=b6d720391e2e4b9e6a546629fc24754d
792,1002,Consumption of spoiled black fungus may lead to rice yeast acidosis,2018/8/11,,TRUE,https://vp.fact.qq.com/article?id=4ab3bc62ecbe231bcc6b25ef67658e14
765,975,Young people also get uremia,2018/12/24,Zhang Wei,TRUE,https://vp.fact.qq.com/article?id=7eb4c57758db92c282c41568958af26a
769,979,Bitter nuts are likely to be toxic and cause cancer,2018/11/8,Li Yuanyuan,TRUE,https://vp.fact.qq.com/article?id=78295773136edbde10458643662e0de3
836,1046,Long-term consumption of cadmium rice may cause cadmium poisoning,2017/11/2,Cloudless,TRUE,https://vp.fact.qq.com/article?id=6baf1132979dcdb7de86be996771ef42
883,1093,Drinking pure milk can relieve heavy metal poisoning,2015/10/10,Jun,TRUE,https://vp.fact.qq.com/article?id=c5c0c45b023e3f8756e98ffa82ac09f6
963,1181,Baby formula may contain disinfectant ingredients,2015/5/18,Zu Beichen,TRUE,https://vp.fact.qq.com/article?id=5111f310ed0c159974f3b702c3d65c59
919,1137,Impatiens are toxic and are not suitable for dyeing hair and nails,2019/4/7,Cloudless,TRUE,https://vp.fact.qq.com/article?id=d22bbc52328ebae49c8c7784081b40ad
776,986,More than 100 sheep in Shandong Shouguang accidentally eat poisonous shallots and die,2018/10/18,Zheng Zheng,TRUE,https://vp.fact.qq.com/article?id=38a37a3970fe20f9c8039010f7ed7dec
996,1225,"Open a video poisoning from a stranger on your phone, there is a theoretical possibility",2018/1/4,,TRUE,https://vp.fact.qq.com/article?id=21ebad549e39abbb64465335a998defe
858,1068,Red potion mixed with iodine can be very toxic,2017/3/30,Song Hui,TRUE,https://vp.fact.qq.com/article?id=35f3444c219ec1a5a014bca9e8ee659b
923,1141,It is not recommended to use aluminum cans. It may cause aluminum poisoning risk.,2019/2/4,Xie Wangshi,TRUE,https://vp.fact.qq.com/article?id=2b64c3807050b6c6e41fdf0191334c9a
925,1143,"Uremic is not a disease, but an advanced state of various kidney diseases",2018/12/24,Li Qing,TRUE,https://vp.fact.qq.com/article?id=511bad6ba64fd0eede7e567610b444ba
917,1135,"Red broccoli contains pyrrolizidine alkaloids, hepatotoxic",2019/5/23,Teacher,TRUE,https://vp.fact.qq.com/article?id=ea08d15113820d2fe928594d465aa693
973,1202,Masks should be disinfected and re-stained with high temperature or alcohol after use to prevent recycling.,2020/1/25,Popular Science China,TRUE,https://vp.fact.qq.com/article?id=b52c932d579933c365261d95004b2562
818,1028,Pregnant women do not drink unsterilized milk,2017/11/7,Cloudless,TRUE,https://vp.fact.qq.com/article?id=6f7cc917a65a5d780cdc58855d69ba09
1002,1231,"A moray eels the family down, beware of ""encountering"" ciguatoxin when eating fish",2017/10/10,Song Hui,TRUE,https://vp.fact.qq.com/article?id=7901b3e3bda3f6029ea52c248d0e00fa
970,1188,One-sided fried eggs can't completely kill bacteria and easily cause poisoning,2017/11/12,True team,TRUE,https://vp.fact.qq.com/article?id=4c0924d5e6653fa6ae6d708df412183c
913,1131,"Towels are prone to bacteria and should be cleaned, disinfected and replaced regularly",2019/8/30,Luo Xiang,TRUE,https://vp.fact.qq.com/article?id=ebb410b1e936978405b670c37f57e10c
786,996,"Green sprouted potatoes are best not eaten, they have toxins",2018/9/26,Zhong Kai,TRUE,https://vp.fact.qq.com/article?id=bdb98650a5a99a27a9e8eb2819ab21c8
909,1119,Someone uses cold medicine to make drugs,2017/12/3,,TRUE,https://vp.fact.qq.com/article?id=4df3768300a0ecbb8b51a654517f7bf0
777,987,Azithromycin combined with digoxin can cause digoxin poisoning,2018/10/15,Dr Chunyu,TRUE,https://vp.fact.qq.com/article?id=326296215e1c94b28193f8c77aa8e789
788,998,Grapes and raisins are poisonous to dogs,2018/11/23,Li Yuanyuan,TRUE,https://vp.fact.qq.com/article?id=986262f165c33a5080d6ebd7f6319e1d
908,1118,Salmonella can cause food poisoning,2018/7/23,,TRUE,https://vp.fact.qq.com/article?id=e8a72a6c179ee8086e2ce8b76694fa46
991,1220,"A company in the Netherlands uses pesticides illegally, and ""poison eggs"" are found in Europe",2017/8/7,Cloudless,TRUE,https://vp.fact.qq.com/article?id=f2e5dc73067e18f1166f652afdc46443
927,1145,"Borax is toxic, and you need to be extra careful when taking medicines containing borax",2018/12/10,Early summer,TRUE,https://vp.fact.qq.com/article?id=2a6f699b3ca8514cc7576da5aff61346
814,1024,Canned and other sealed disinfection products do not need to be placed in the refrigerator,2017/8/11,Zhang Yan,TRUE,https://vp.fact.qq.com/article?id=e675f8072ccd58077bec12373a494bcd
